0
Cell ID 	 Celda Direccion 	 Celda Num 	 Celda Localidad 	 Celda Provincia 	 Radio Cobertura (en KM) 	 Azimuth 	 Latitud 	 Longitud
 ZSFCANN12 	 DEL CAMPILLO JUAN 	 1376	 SANTA FE	 SANTA FE	 2.37 	 123 	 -31.6328892	 -60.68818275
 ZSFPUEM11 	 VELEZ SARSFIELD 	 3449	 SANTA FE	 SANTA FE	 6 	 0 	 -31.63979335	 -60.68612612
 ZSFCASF12 	 PUERTO DIQUE 1 	 246	 SANTA FE	 SANTA FE	 4 	 120 	 -31.64573255	 -60.69551665
 ZSTPLAO11 	 12 DE SEPTIEMBRE 	 740	 SANTO TOME - SE	 SANTA FE	 2.01 	 29 	 -31.67807521	 -60.78428477
 ZSFGORH11 	 REGIMIENTO 12 INFANTERIA 	 5348	 SANTA FE	 SANTA FE	 1.5 	 64 	 -31.59134997	 -60.72647561
 ZSFGORG11 	 REGIMIENTO 12 INFANTERIA 	 5348	 SANTA FE	 SANTA FE	 1.5 	 60 	 -31.59134997	 -60.72647561
 ZSFNORH13 	 SILVA GENARO 	 5852	 SANTA FE	 SANTA FE	 8 	 243 	 -31.56787143	 -60.7292102
 ZSFNORG13 	 SILVA GENARO 	 5852	 SANTA FE	 SANTA FE	 6 	 243 	 -31.56787143	 -60.7292102
 ZSFFLOH11 	 ARENALES 	 7262	 SANTA FE	 SANTA FE	 1.9 	 3 	 -31.6068986	 -60.7240183
 ZSFSABH13 	 SAAVEDRA 	 9744	 SANTA FE	 SANTA FE	 2.36 	 262 	 35.69213486	 -105.93959045
" ZSFYAGH11 	 PARERA BLAS ,AV. 	 5883	 SANTA FE	 SANTA FE	 1.18 	 0 	 -31.60927167	 -60.71933754"
 ZSFNORG12 	 SILVA GENARO 	 5852	 SANTA FE	 SANTA FE	 3 	 123 	 -31.56787143	 -60.7292102
" ZSFCIRH12 	 SANTA FE 1,PJE. 	 6999	 SANTA FE	 SANTA FE	 2 	 143 	 -8.17399372	 -34.93675567"
" ZSFPELH11 	 PELLEGRINI DR C ,BVD. 	 3852	 SANTA FE	 SANTA FE	 8 	 359 	 -31.63205113	 -60.71918805"
 ZSFNORH12 	 SILVA GENARO 	 5852	 SANTA FE	 SANTA FE	 3 	 123 	 -31.56787143	 -60.7292102
 ZSFZUVH11 	 DEL CAMPILLO JUAN 	 2850	 SANTA FE	 SANTA FE	 1.21 	 359 	 -31.62936835	 -60.70457687
 ZSFMERH12 	 LOZA CNEL FLORENTINO 	 7188	 SANTA FE	 SANTA FE	 1.92 	 123 	 -31.5668733	 -60.7341103
 ZAGALLH13 	 GALLARDO DR 	 1895	 MONTE VERA	 SANTA FE	 3.6 	 240 	 -31.5185526	 -60.67840445
 ZSFCOLV11 	 B. CENTENARIO MZA 08 ESC 	 11	 SANTA FE	 SANTA FE	 2 	 23 	 -32.81131455	 -61.41171015
 ZSTPLAV13 	 12 DE SEPTIEMBRE 	 740	 SANTO TOME - SE	 SANTA FE	 8 	 299 	 -31.67807521	 -60.78428477
 ZSFCOLV12 	 B. CENTENARIO MZA 08 ESC 	 11	 SANTA FE	 SANTA FE	 1 	 143 	 -32.81131455	 -61.41171015
 ZSFURQV13 	 JUJUY 	 3051	 SANTA FE	 SANTA FE	 0.62 	 263 	 35.69213486	 -105.93959045
 ZSFCOLV13 	 B. CENTENARIO MZA 08 ESC 	 11	 SANTA FE	 SANTA FE	 8 	 263 	 -32.81131455	 -61.41171015
 ZSTPLAV12 	 12 DE SEPTIEMBRE 	 740	 SANTO TOME - SE	 SANTA FE	 8 	 199 	 -31.67807521	 -60.78428477
 ZSTPLAV11 	 12 DE SEPTIEMBRE 	 740	 SANTO TOME - SE	 SANTA FE	 8 	 29 	 -31.67807521	 -60.78428477
 ZSFSLOV12 	 LAMADRID 	 997	 SANTA FE	 SANTA FE	 4 	 139 	 -31.65668094	 -60.73130896
 ZSFCORV14 	 SAN MARTIN 	 2081	 SANTA FE	 SANTA FE	 0.57 	 32 	 -31.65176111	 -60.70821788
 ZSFGORG11 	 REGIMIENTO 12 INFANTERIA 	 5348	 SANTA FE	 SANTA FE	 1.5 	 60 	 -31.59134997	 -60.72647561
 ZSFHIBH11 	 HERNANDARIAS 	 5985	 SANTA FE	 SANTA FE	 2 	 3 	 35.69213486	 -105.93959045
 ZSFMERH12 	 LOZA CNEL FLORENTINO 	 7188	 SANTA FE	 SANTA FE	 1.92 	 123 	 -31.5668733	 -60.7341103
" ZSFYAGH11 	 PARERA BLAS ,AV. 	 5883	 SANTA FE	 SANTA FE	 1.18 	 0 	 -31.60927167	 -60.71933754"
 ZSFNORH13 	 SILVA GENARO 	 5852	 SANTA FE	 SANTA FE	 8 	 243 	 -31.56787143	 -60.7292102
 ZSFSABH13 	 SAAVEDRA 	 9744	 SANTA FE	 SANTA FE	 2.36 	 262 	 35.69213486	 -105.93959045
 ZSFNORH12 	 SILVA GENARO 	 5852	 SANTA FE	 SANTA FE	 3 	 123 	 -31.56787143	 -60.7292102
 ZSFFLOH11 	 ARENALES 	 7262	 SANTA FE	 SANTA FE	 1.9 	 3 	 -31.6068986	 -60.7240183
 ZSFOESH11 	 QUIROGA PADRE 	 2285	 SANTA FE	 SANTA FE	 3 	 359 	 -31.6440159	 -60.7338179
" ZSFCIRH12 	 SANTA FE 1,PJE. 	 6999	 SANTA FE	 SANTA FE	 2 	 143 	 -8.17399372	 -34.93675567"
" ZSFPELH11 	 PELLEGRINI DR C ,BVD. 	 3852	 SANTA FE	 SANTA FE	 8 	 359 	 -31.63205113	 -60.71918805"
 ZSFNUNH11 	 QUIROGA PADRE 	 2896	 SANTA FE	 SANTA FE	 4 	 359 	 -31.64381875	 -60.73365545
" ZSFCIRN12 	 SANTA FE 1,PJE. 	 6999	 SANTA FE	 SANTA FE	 2 	 143 	 -8.17399372	 -34.93675567"
 ZSFNORG13 	 SILVA GENARO 	 5852	 SANTA FE	 SANTA FE	 6 	 243 	 -31.56787143	 -60.7292102
